Time,CF 3.0 V (1-1),CF 2.0 V (2-1),CF 2.5 V (3-1),CF 2.0 V (3-2),CF 2.0 V (4-1),CF 1.5 V (5-1),CF 1.5 V (6-1),CF 3.0 V (8-2),CF X-Ray,MC 1.5 V (1-2),MC 2.0 V (2-1),MC 2.5 V (2-2),MC 2.5 V (3-1),MC 3.0 V (4-1),MC 2.5 V (5-1),MC 2.0 V (5-2),MC 1.5 V (7-1),MC X-Ray
8.666666667,0.302835205,0.287631023,0.300543828,0.300473774,0.296758771,0.295218067,0.293772841,0.301870033,0.297428093,0.297692183,0.291043045,0.296660986,0.309835923,0.303682233,0.29610647,0.298022716,0.296120566,0.282148707
8.833333333,0.303128339,0.287928784,0.300562525,0.300581356,0.297016714,0.295223786,0.29387094,0.302034172,0.297563571,0.297690122,0.290801833,0.296530819,0.310127757,0.304150762,0.296326292,0.298209241,0.296296173,0.282193747
9,0.303337478,0.288162089,0.300309778,0.300622276,0.297228126,0.295412893,0.294019248,0.302026958,0.297696201,0.297977275,0.291173946,0.296469342,0.310426538,0.304325431,0.296215596,0.298347382,0.296354982,0.282852072
9.166666667,0.303688289,0.288307126,0.300254849,0.300678289,0.29730323,0.295552147,0.294230275,0.302210583,0.297737229,0.297915114,0.291377603,0.296388664,0.310520637,0.30471085,0.296409715,0.298629944,0.296575669,0.283005791
9.333333333,0.30371398,0.288717577,0.300271689,0.300727774,0.297400684,0.29566072,0.294472685,0.302155616,0.297854993,0.298084751,0.291458241,0.296416264,0.311009549,0.30487841,0.296553683,0.29861566,0.29701097,0.28303596
9.5,0.303782574,0.289007832,0.300596798,0.300858333,0.29757062,0.295902594,0.294641221,0.302291252,0.298041795,0.298212684,0.291697576,0.296469688,0.311319085,0.305179615,0.296887103,0.298726086,0.297022881,0.283791153
9.666666667,0.304088624,0.289198718,0.300457503,0.300966008,0.297623052,0.296004138,0.294813799,0.302421725,0.298107953,0.298440915,0.291586099,0.296464983,0.311392124,0.305521222,0.296879045,0.298826245,0.297037412,0.283832745
9.833333333,0.304301363,0.289428497,0.300773872,0.301019336,0.297836223,0.296235287,0.294956181,0.302433019,0.29821322,0.298559746,0.291483828,0.296656225,0.311810941,0.305514564,0.297058204,0.299020093,0.297326586,0.283780889
10,0.304363121,0.289708287,0.300969731,0.301032838,0.297768272,0.296306889,0.295245465,0.302454775,0.298356038,0.298600329,0.291525119,0.29647306,0.3119768,0.306025807,0.296924439,0.299306855,0.297330436,0.283948939
10.16666667,0.304491026,0.289996077,0.301212113,0.301103159,0.297950486,0.296421065,0.295325003,0.302640699,0.298322873,0.298779426,0.291861265,0.296564018,0.312242345,0.306278028,0.297144701,0.299395735,0.297511979,0.284218962
10.33333333,0.304617391,0.290165122,0.301176765,0.301084191,0.298062204,0.296574182,0.295502723,0.302746575,0.298467901,0.298780278,0.291655934,0.296778839,0.312514224,0.306501813,0.297248493,0.299654015,0.297773542,0.2843913
10.5,0.304847952,0.290646988,0.301451745,0.301170878,0.298198371,0.296590445,0.295691379,0.302805539,0.29852317,0.299084485,0.291927902,0.297094798,0.312754277,0.306751503,0.297279492,0.299860481,0.298037675,0.284543416
10.66666667,0.304669028,0.290834096,0.301492747,0.301218097,0.29823477,0.296812455,0.295694692,0.302816292,0.29861615,0.299096436,0.292038694,0.297282769,0.313106378,0.307000741,0.297477393,0.300154878,0.298177385,0.284852622
10.83333333,0.304911391,0.290977229,0.301614064,0.301457266,0.298413747,0.296789007,0.296049377,0.302914081,0.298721728,0.299105088,0.29195353,0.297409365,0.313306078,0.307234715,0.29754696,0.300113958,0.298102278,0.284917272
11,0.305006887,0.291230024,0.301730982,0.301462401,0.29858714,0.297037846,0.296170809,0.30297449,0.298931144,0.299246127,0.291847454,0.297646236,0.313538108,0.307540315,0.297441872,0.300211946,0.298259274,0.285417296
11.16666667,0.3050372,0.291584433,0.301907974,0.30164248,0.298756073,0.297087585,0.296243971,0.302990818,0.298906519,0.299479371,0.291896794,0.297787718,0.313712466,0.307730558,0.297580991,0.300415162,0.298430514,0.285368107
11.33333333,0.305189084,0.291715172,0.301917195,0.301990772,0.298825356,0.297210071,0.296415148,0.303024573,0.298903722,0.299625264,0.291796773,0.297999865,0.313881337,0.307933625,0.297833866,0.300708637,0.298951994,0.285419223
11.5,0.305124416,0.291922954,0.302028699,0.302015843,0.298863718,0.297400656,0.296523757,0.303142316,0.299035397,0.299706497,0.291679535,0.298160901,0.314276882,0.307985373,0.297774798,0.300780515,0.298983529,0.285688329
11.66666667,0.305380346,0.292089807,0.30213046,0.302009418,0.299056489,0.297481331,0.296760688,0.303195816,0.29923044,0.299893522,0.292239728,0.298288954,0.314468488,0.308330831,0.297926304,0.300891147,0.298838876,0.285611411
11.83333333,0.305581602,0.292480247,0.302242126,0.30227808,0.299171127,0.297543496,0.296955379,0.303373848,0.299348849,0.300114254,0.292372586,0.29859944,0.31470655,0.308696494,0.297977787,0.301200674,0.299240992,0.285918477
12,0.305723968,0.292688561,0.302228199,0.302344159,0.299294046,0.297684077,0.297071412,0.303307931,0.299376729,0.300231495,0.292242861,0.298774244,0.314882867,0.308849369,0.298130329,0.301285692,0.299359408,0.286099329
12.16666667,0.305525053,0.292696428,0.30235277,0.302433003,0.299118597,0.297835955,0.297250843,0.303366246,0.299531894,0.300239682,0.292177172,0.298814762,0.315311698,0.30898794,0.29823591,0.301440457,0.299468571,0.286515601
